"release_year","genre","region","sales"
1980,"Action","North America",0.32
1980,"Fighting","North America",0.72
1980,"Misc","North America",2.53
1980,"Shooter","North America",6.56
1980,"Sports","North America",0.46
1981,"Action","North America",13.86
1981,"Platform","North America",6.47
1981,"Puzzle","North America",2.09
1981,"Racing","North America",0.45
1981,"Shooter","North America",9.37
1981,"Simulation","North America",0.42
1981,"Sports","North America",0.74
1982,"Action","North America",6.07
1982,"Misc","North America",0.81
1982,"Platform","North America",4.69
1982,"Puzzle","North America",9.35
1982,"Racing","North America",1.47
1982,"Shooter","North America",3.55
1982,"Sports","North America",0.98
1983,"Action","North America",2.67
1983,"Adventure","North America",0.38
1983,"Misc","North America",0.01
1983,"Platform","North America",2.8
1983,"Puzzle","North America",0.72
1983,"Shooter","North America",0.45
1983,"Sports","North America",0.73
1984,"Action","North America",0.8
1984,"Misc","North America",0.0
1984,"Platform","North America",0.0
1984,"Puzzle","North America",0.69
1984,"Racing","North America",2.3
1984,"Shooter","North America",27.79
1984,"Sports","North America",1.7
1985,"Action","North America",1.64
1985,"Fighting","North America",0.0
1985,"Platform","North America",29.93
1985,"Puzzle","North America",1.33
1985,"Shooter","North America",0.65
1985,"Simulation","North America",0.0
1985,"Sports","North America",0.18
1986,"Action","North America",6.52
1986,"Platform","North America",1.07
1986,"Racing","North America",1.13
1986,"Role-Playing","North America",0.49
1986,"Shooter","North America",0.94
1986,"Sports","North America",2.35
1987,"Action","North America",1.04
1987,"Adventure","North America",2.19
1987,"Fighting","North America",2.8
1987,"Platform","North America",0.9
1987,"Role-Playing","North America",0.47
1987,"Shooter","North America",0.66
1987,"Sports","North America",0.4
1988,"Action","North America",1.15
1988,"Platform","North America",16.34
1988,"Puzzle","North America",2.97
1988,"Racing","North America",1.47
1988,"Role-Playing","North America",0.1
1988,"Shooter","North America",0.47
1988,"Simulation","North America",0.0
1988,"Sports","North America",1.37
1989,"Action","North America",3.83
1989,"Misc","North America",0.0
1989,"Platform","North America",12.14
1989,"Puzzle","North America",26.54
1989,"Role-Playing","North America",0.0
1989,"Shooter","North America",0.4
1989,"Sports","North America",2.24
1990,"Action","North America",4.27
1990,"Platform","North America",14.14
1990,"Puzzle","North America",3.13
1990,"Racing","North America",3.1
1990,"Role-Playing","North America",0.08
1990,"Simulation","North America",0.46
1990,"Sports","North America",0.28
1991,"Action","North America",3.47
1991,"Adventure","North America",0.85
1991,"Fighting","North America",0.0
1991,"Misc","North America",0.0
1991,"Platform","North America",4.36
1991,"Puzzle","North America",0.86
1991,"Racing","North America",0.58
1991,"Role-Playing","North America",0.24
1991,"Shooter","North America",1.06
1991,"Simulation","North America",0.93
1991,"Sports","North America",0.41
1991,"Strategy","North America",0.0
1992,"Action","North America",2.21
1992,"Adventure","North America",6.18
1992,"Fighting","North America",6.88
1992,"Misc","North America",2.3
1992,"Platform","North America",8.23
1992,"Puzzle","North America",1.56
1992,"Racing","North America",3.54
1992,"Role-Playing","North America",0.0
1992,"Shooter","North America",0.02
1992,"Simulation","North America",1.2
1992,"Sports","North America",1.75
1992,"Strategy","North America",0.02
1993,"Action","North America",0.64
1993,"Adventure","North America",0.0
1993,"Fighting","North America",2.0
1993,"Misc","North America",0.0
1993,"Platform","North America",9.66
1993,"Puzzle","North America",0.62
1993,"Racing","North America",0.0
1993,"Role-Playing","North America",0.25
1993,"Shooter","North America",1.61
1993,"Simulation","North America",0.0
1993,"Sports","North America",0.04
1993,"Strategy","North America",0.3
1994,"Action","North America",0.57
1994,"Adventure","North America",0.06
1994,"Fighting","North America",2.86
1994,"Misc","North America",1.49
1994,"Platform","North America",14.88
1994,"Puzzle","North America",0.0
1994,"Racing","North America",0.0
1994,"Role-Playing","North America",0.86
1994,"Shooter","North America",3.71
1994,"Simulation","North America",0.34
1994,"Sports","North America",2.5
1994,"Strategy","North America",0.89
1995,"Action","North America",1.73
1995,"Adventure","North America",0.02
1995,"Fighting","North America",4.39
1995,"Misc","North America",2.32
1995,"Platform","North America",6.61
1995,"Puzzle","North America",0.21
1995,"Racing","North America",2.27
1995,"Role-Playing","North America",0.71
1995,"Shooter","North America",0.7
1995,"Simulation","North America",1.36
1995,"Sports","North America",2.56
1995,"Strategy","North America",1.95
1996,"Action","North America",10.65
1996,"Adventure","North America",0.86
1996,"Fighting","North America",7.12
1996,"Misc","North America",4.08
1996,"Platform","North America",13.81
1996,"Puzzle","North America",2.18
1996,"Racing","North America",16.94
1996,"Role-Playing","North America",12.78
1996,"Shooter","North America",3.28
1996,"Simulation","North America",5.42
1996,"Sports","North America",7.78
1996,"Strategy","North America",1.86
1997,"Action","North America",14.4
1997,"Adventure","North America",2.36
1997,"Fighting","North America",6.03
